courseid,title,startdate,grade,instructorid,instructorfirst,instructorlast,instructortitle,studentid,gender,age,admissionyear
304,Statistical Methods for Data Mining,2015-9-20,3.3,16,Adam,Terry,Senior Associate Dean,4,F,17,2010
304,Statistical Methods for Data Mining,2015-9-20,2.3,16,Adam,Terry,Senior Associate Dean,5,,21,2010
304,Statistical Methods for Data Mining,2015-9-20,1.6,16,Adam,Terry,Senior Associate Dean,6,,16,2011
304,Statistical Methods for Data Mining,2015-9-20,3,16,Adam,Terry,Senior Associate Dean,7,F,18,2011
304,Statistical Methods for Data Mining,2015-9-20,1.3,16,Adam,Terry,Senior Associate Dean,13,F,18,2010
304,Statistical Methods for Data Mining,2015-9-20,2.2,16,Adam,Terry,Senior Associate Dean,19,F,21,2010
304,Statistical Methods for Data Mining,2015-9-20,2.4,16,Adam,Terry,Senior Associate Dean,21,M,22,2008
304,Statistical Methods for Data Mining,2015-9-20,2.5,16,Adam,Terry,Senior Associate Dean,23,F,20,2009
304,Statistical Methods for Data Mining,2015-9-20,1.6,16,Adam,Terry,Senior Associate Dean,30,F,21,2010
304,Statistical Methods for Data Mining,2015-9-20,1.8,16,Adam,Terry,Senior Associate Dean,33,F,21,2010
304,Statistical Methods for Data Mining,2015-9-20,3.2,16,Adam,Terry,Senior Associate Dean,34,F,22,2009
304,Statistical Methods for Data Mining,2015-9-20,3.4,16,Adam,Terry,Senior Associate Dean,35,F,21,2008
304,Statistical Methods for Data Mining,2015-9-20,1.5,16,Adam,Terry,Senior Associate Dean,36,M,20,2009
304,Statistical Methods for Data Mining,2015-9-20,3.8,16,Adam,Terry,Senior Associate Dean,41,M,17,2011
304,Statistical Methods for Data Mining,2015-9-20,1.4,16,Adam,Terry,Senior Associate Dean,45,M,18,2011
304,Statistical Methods for Data Mining,2015-9-20,1.9,16,Adam,Terry,Senior Associate Dean,47,F,16,2011
304,Statistical Methods for Data Mining,2015-9-20,3.3,16,Adam,Terry,Senior Associate Dean,51,F,17,2011
304,Statistical Methods for Data Mining,2015-9-20,3.9,16,Adam,Terry,Senior Associate Dean,56,M,20,2009
304,Statistical Methods for Data Mining,2015-9-20,1.2,16,Adam,Terry,Senior Associate Dean,57,,18,2011
304,Statistical Methods for Data Mining,2015-9-20,2.8,16,Adam,Terry,Senior Associate Dean,59,F,18,2009
304,Statistical Methods for Data Mining,2015-9-20,3.1,16,Adam,Terry,Senior Associate Dean,62,M,19,2009
304,Statistical Methods for Data Mining,2015-9-20,2.9,16,Adam,Terry,Senior Associate Dean,65,F,20,2008
304,Statistical Methods for Data Mining,2015-9-20,3.9,16,Adam,Terry,Senior Associate Dean,67,F,18,2011
304,Statistical Methods for Data Mining,2015-9-20,1.4,16,Adam,Terry,Senior Associate Dean,68,F,18,2010
304,Statistical Methods for Data Mining,2015-9-20,1.9,16,Adam,Terry,Senior Associate Dean,70,F,23,2008
304,Statistical Methods for Data Mining,2015-9-20,1.4,16,Adam,Terry,Senior Associate Dean,71,F,20,2010
304,Statistical Methods for Data Mining,2015-9-20,2.2,16,Adam,Terry,Senior Associate Dean,75,M,19,2008
304,Statistical Methods for Data Mining,2015-9-20,2.1,16,Adam,Terry,Senior Associate Dean,76,F,19,2008
304,Statistical Methods for Data Mining,2015-9-20,3.5,16,Adam,Terry,Senior Associate Dean,81,F,20,2009
304,Statistical Methods for Data Mining,2015-9-20,3,16,Adam,Terry,Senior Associate Dean,85,M,20,2010
304,Statistical Methods for Data Mining,2015-9-20,3.7,16,Adam,Terry,Senior Associate Dean,90,F,22,2007
304,Statistical Methods for Data Mining,2015-9-20,3.7,16,Adam,Terry,Senior Associate Dean,91,F,18,2009
313,Deterministic Methods and Optimization,2015-3-16,2.9,18,Amy,Watson,Associate Professor,5,,21,2010
313,Deterministic Methods and Optimization,2015-3-16,3.5,18,Amy,Watson,Associate Professor,6,,16,2011
313,Deterministic Methods and Optimization,2015-3-16,2.5,18,Amy,Watson,Associate Professor,7,F,18,2011
313,Deterministic Methods and Optimization,2015-3-16,1.5,18,Amy,Watson,Associate Professor,8,F,18,2011
313,Deterministic Methods and Optimization,2015-3-16,2.4,18,Amy,Watson,Associate Professor,12,M,19,2011
313,Deterministic Methods and Optimization,2015-3-16,1.5,18,Amy,Watson,Associate Professor,15,M,18,2009
313,Deterministic Methods and Optimization,2015-3-16,1.2,18,Amy,Watson,Associate Professor,16,M,17,2011
313,Deterministic Methods and Optimization,2015-3-16,3,18,Amy,Watson,Associate Professor,20,F,18,2010
313,Deterministic Methods and Optimization,2015-3-16,1.8,18,Amy,Watson,Associate Professor,26,F,16,2011
313,Deterministic Methods and Optimization,2015-3-16,1.3,18,Amy,Watson,Associate Professor,27,M,20,2010
313,Deterministic Methods and Optimization,2015-3-16,4,18,Amy,Watson,Associate Professor,29,F,20,2008
313,Deterministic Methods and Optimization,2015-3-16,2.2,18,Amy,Watson,Associate Professor,36,M,20,2009
313,Deterministic Methods and Optimization,2015-3-16,2.3,18,Amy,Watson,Associate Professor,41,M,17,2011
313,Deterministic Methods and Optimization,2015-3-16,2.4,18,Amy,Watson,Associate Professor,43,M,17,2011
313,Deterministic Methods and Optimization,2015-3-16,2.9,18,Amy,Watson,Associate Professor,46,F,22,2008
313,Deterministic Methods and Optimization,2015-3-16,3.9,18,Amy,Watson,Associate Professor,48,M,22,2009
313,Deterministic Methods and Optimization,2015-3-16,3.2,18,Amy,Watson,Associate Professor,50,F,18,2009
313,Deterministic Methods and Optimization,2015-3-16,3.9,18,Amy,Watson,Associate Professor,51,F,17,2011
